1 3 5
1 44 2
1 46 5
2 64 1197
2 80 6
2 67 354
2 4 3298
2 65 79
2 45 485
2 47 2255
2 48 6
2 49 155
2 53 522
2 60 93
3 4 137
3 39 5
3 44 3
3 46 119
3 48 431
3 49 365
3 50 22
3 51 1
3 52 10
3 59 2
3 62 188
3 63 14
3 64 277
3 66 21
3 68 1
3 84 5
3 86 3
3 107 1
3 114 3
3 122 3
3 124 4
3 126 2
4 128 13
4 5 238
4 22 1
4 37 254
4 45 2596
4 47 1981
4 49 145
4 50 127
4 53 1179
4 60 1916
4 62 32
4 64 2951
4 65 4827
4 67 10598
4 80 20
4 88 178
4 91 1289
4 94 5200
4 97 1124
4 115 68
4 119 520
4 121 2061
4 127 44
5 64 306
5 65 57
5 53 28
6 32 1
6 116 2
6 7 8
6 39 17
6 12 25
6 84 3
6 150 2
6 89 7
6 57 27
6 71 4
6 27 15
6 192 4
6 20 38
6 31 7
7 39 8
7 71 2
7 12 4
7 146 1
7 116 2
7 89 5
7 57 8
7 27 7
7 20 3
7 31 2
8 68 1
8 39 1
8 233 1
8 268 2
8 146 2
8 14 2
8 239 2
8 144 1
8 242 2
8 21 1
8 89 1
8 90 1
8 93 2
9 225 199
9 67 28
9 147 45
9 243 1
9 40 23
9 108 159
9 145 267
9 83 40
9 244 1
9 119 1
10 35 4
10 40 5
10 11 447
10 16 124
10 83 61
10 23 245
10 25 36
10 58 208
10 92 115
11 151 36
11 272 26
11 273 2
11 147 599
11 23 6312
11 24 363
11 25 1086
11 30 17
11 161 2
11 34 93
11 35 718
11 36 21
11 40 4480
11 58 1312
11 323 305
11 83 171
11 85 579
11 92 977
11 223 13
11 16 4281
11 232 38
11 236 443
11 117 173
12 20 54
12 27 10
12 31 4
12 32 8
12 289 2
12 293 4
12 39 37
12 308 1
12 182 3
12 57 19
12 446 2
12 192 2
12 449 1
12 71 3
12 82 3
12 216 20
12 89 10
12 93 1
12 222 1
12 224 1
12 488 7
12 491 1
12 338 1
12 370 1
12 374 2
13 32 2
13 39 6
13 72 3
13 93 3
13 21 1
13 55 4
13 29 3
13 31 4
14 33 1
14 68 2
14 72 2
14 21 1
14 29 1
14 31 2
15 34 3
15 35 180
15 69 318
15 40 1159
15 41 12
15 85 251
15 22 741
15 119 547
15 56 27
15 26 121
15 92 353
15 94 1694
15 127 17
16 272 71
16 147 2
16 151 503
16 24 244
16 25 333
16 30 15
16 34 128
16 35 2648
16 36 18
16 294 381
16 40 8369
16 427 244
16 307 777
16 309 369
16 311 13
16 23 7471
16 58 1706
16 315 66
16 83 29
16 323 356
16 197 5
16 458 74
16 459 212
16 339 1
16 85 1356
16 217 851
16 92 1380
16 223 167
16 225 70
16 228 331
16 229 270
16 231 47
16 232 1114
16 236 66
16 366 10
16 368 6
16 369 222
16 243 557
16 372 122
16 117 580
17 96 2
17 66 14
17 70 1
17 113 1
17 298 3
17 107 10
17 268 7
17 242 9
17 93 2
17 111 2
17 305 1
17 114 1
17 52 1
17 86 11
17 152 5
17 122 1
17 251 1
17 317 7
17 319 2
18 97 387
18 67 856
18 243 218
18 359 223
18 297 32
18 300 255
18 237 53
18 302 197
18 399 126
18 91 314
18 83 5
18 41 179
18 88 461
18 153 361
18 155 103
18 94 462
18 191 3
19 57 2
19 20 11
19 39 2
20 515 15
20 521 2
20 523 1
20 525 31
20 527 28
20 532 1
20 21 2
20 538 12
20 27 44
20 28 2
20 542 3
20 31 14
